seq id	hmm name	type	bit score	E-value	significance	clan	Family ID	
slya|90111310|b1642	MarR	Family	66.3	1.40E-18	1	CL0123	24	MarR like Tfs
nagc|16128652|b0676	MarR	Family	30	3.00E-07	1	CL0123	24
slya_1|90111310|b1642	MarR_2	Family	66.3	1.40E-18	1	CL0123	24	MarR like Tfs
nagc_1|16128652|b0676	MarR_2	Family	30	3.00E-07	1	CL0123	24	
mlra|16130065|b2127	MerR_1	Family	62.8	1.80E-17	1	CL0123	25
mlra_1|16130065|b2127	MerR	Family	62.8	1.80E-17	1	CL0123	25	
metj|16131776|b3938	MetJ	Domain	230.6	1.10E-69	1	CL0057	26	
puta|16128980|b1014	Pro_dh-DNA_bdg	Domain	173.9	1.00E-51	1	No_clan	27	
iscr|16130456|b2531	Rrf2	Family	94.8	2.50E-27	1	CL0123	28	
nsrr|16132000|b4178	Rrf2	Family	87.9	3.50E-25	1	CL0123	28	
rutr|16128979|b1013	TetR_N	Domain	59.2	2.10E-16	1	CL0123	29	
phob|16128384|b0399	Trans_reg_C	Domain	95.5	1.30E-27	1	CL0123	30	CheY related
ompr|16131282|b3405	Trans_reg_C	Domain	79.1	1.70E-22	1	CL0123	30	
baer|16130019|b2079	Trans_reg_C	Domain	78.7	2.30E-22	1	CL0123	30	
cpxr|16131752|b3912	Trans_reg_C	Domain	74.8	3.60E-21	1	CL0123	30	
rsta|145698268|b1608	Trans_reg_C	Domain	71.3	4.40E-20	1	CL0123	30	
phop|16129093|b1130	Trans_reg_C	Domain	67.3	7.70E-19	1	CL0123	30	
arca|16132218|b4401	Trans_reg_C	Domain	63.5	1.20E-17	1	CL0123	30	
torr|16128961|b0995	Trans_reg_C	Domain	58.7	3.90E-16	1	CL0123	30	
trpr|16132210|b4393	Trp_repressor	Domain	106.4	4.90E-31	1	CL0123	31	
sig70|Sigma70	Sigma70_r2	Domain					32	
sig54|Sigma54	Sigma54_DBD	Domain					33	
